RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,TransactionFrequency,AvgTransactionAmount,ComplaintsFiled,CustomerSatisfaction,HasLoan
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,23,5062.429179339129,2,1,0
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,15,9234.745632840684,1,4,0
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,21,6993.914963045239,3,1,1
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,25,3990.7908090300516,2,5,1
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,15,3595.8728752893758,0,5,1
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,17,8005.455361598571,4,2,0
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,19,2048.2578057971764,0,3,1
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,21,5381.759871837416,3,1,0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,17,4737.759073500656,1,5,0
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,19,4313.547862590648,1,5,0
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,16,5707.027968896851,1,4,0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,21,5379.119721017351,1,5,0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,21,5914.801485583488,0,3,0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,17,5277.951304726568,0,5,1
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,22,5835.362810034495,0,4,0
